N,Algorithm,Version,Time(s),Speedup,BlockSize
1000,ijk,Serial,1.479992,1.000000,0
1000,ijk,Serial,1.477780,1.001497,0
1000,ijk,Parallel,0.382559,3.862877,0
1000,ikj,Serial,0.769106,1.924302,0
1000,ikj,Parallel,0.229882,3.345661,0
1000,jik,Serial,1.254512,1.179736,0
1000,jik,Parallel,0.306077,4.098678,0
1000,jki,Serial,13.650961,0.108417,0
1000,jki,Parallel,3.552425,3.842716,0
1000,kij,Serial,0.847209,1.746904,0
1000,kij,Parallel,1.316349,0.643605,0
1000,kji,Serial,12.975167,0.114063,0
1000,kji,Parallel,4.338053,2.991011,0
1000,Blocked,Serial,0.575737,2.570605,16
1000,Blocked,Parallel,0.194043,2.967054,16
1000,Blocked,Serial,0.646659,2.288674,32
1000,Blocked,Parallel,0.179227,3.608057,32
1000,Blocked,Serial,0.714256,2.072075,64
1000,Blocked,Parallel,0.201010,3.553338,64
1000,Blocked,Serial,0.897912,1.648260,128
1000,Blocked,Parallel,0.225501,3.981862,128
1000,Blocked,Serial,0.994642,1.487965,256
1000,Blocked,Parallel,0.284265,3.498990,256
1500,ijk,Serial,9.670490,1.000000,0
1500,ijk,Serial,9.678010,0.999223,0
1500,ijk,Parallel,2.346525,4.124401,0
1500,ikj,Serial,2.529542,3.823020,0
1500,ikj,Parallel,0.659412,3.836056,0
1500,jik,Serial,8.566216,1.128910,0
1500,jik,Parallel,2.269634,3.774272,0
1500,jki,Serial,51.376724,0.188227,0
1500,jki,Parallel,13.756452,3.734737,0
1500,kij,Serial,2.844618,3.399574,0
1500,kij,Parallel,4.531322,0.627768,0
1500,kji,Serial,51.158031,0.189032,0
1500,kji,Parallel,17.166878,2.980043,0
1500,Blocked,Serial,1.923588,5.027317,16
1500,Blocked,Parallel,0.671774,2.863448,16
1500,Blocked,Serial,2.183448,4.429000,32
1500,Blocked,Parallel,0.603372,3.618739,32
1500,Blocked,Serial,2.394248,4.039051,64
1500,Blocked,Parallel,0.643442,3.720998,64
1500,Blocked,Serial,2.962544,3.264252,128
1500,Blocked,Parallel,0.752106,3.938999,128
1500,Blocked,Serial,3.309925,2.921664,256
1500,Blocked,Parallel,0.841892,3.931530,256
2000,ijk,Serial,44.895901,1.000000,0
2000,ijk,Serial,44.932984,0.999175,0
2000,ijk,Parallel,11.569852,3.883627,0
2000,ikj,Serial,6.037578,7.436078,0
2000,ikj,Parallel,1.580618,3.819758,0
2000,jik,Serial,44.989943,0.997910,0
2000,jik,Parallel,11.543883,3.897297,0
2000,jki,Serial,123.152161,0.364556,0
2000,jki,Parallel,34.603953,3.558904,0
2000,kij,Serial,6.866247,6.538637,0
2000,kij,Parallel,11.070471,0.620231,0
2000,kji,Serial,123.441124,0.363703,0
2000,kji,Parallel,35.845700,3.443680,0
2000,Blocked,Serial,4.640557,9.674680,16
2000,Blocked,Parallel,1.591706,2.915461,16
2000,Blocked,Serial,5.189628,8.651083,32
2000,Blocked,Parallel,1.432028,3.623970,32
2000,Blocked,Serial,5.654109,7.940402,64
2000,Blocked,Parallel,1.490073,3.794519,64
2000,Blocked,Serial,7.052457,6.365994,128
2000,Blocked,Parallel,1.818296,3.878608,128
2000,Blocked,Serial,7.795857,5.758944,256
2000,Blocked,Parallel,2.014367,3.870128,256
2500,ijk,Serial,105.853851,1.000000,0
2500,ijk,Serial,109.020322,0.970955,0
2500,ijk,Parallel,28.734471,3.794061,0
2500,ikj,Serial,11.830428,8.947592,0
2500,ikj,Parallel,3.383402,3.496607,0
2500,jik,Serial,106.328827,0.995533,0
2500,jik,Parallel,27.873585,3.814681,0
2500,jki,Serial,245.505704,0.431167,0
2500,jki,Parallel,64.108776,3.829518,0
2500,kij,Serial,13.190365,8.025089,0
2500,kij,Parallel,21.149854,0.623662,0
2500,kji,Serial,242.431404,0.436634,0
2500,kji,Parallel,67.620352,3.585184,0
2500,Blocked,Serial,9.120188,11.606543,16
2500,Blocked,Parallel,3.114867,2.927954,16
2500,Blocked,Serial,10.192994,10.384961,32
2500,Blocked,Parallel,2.830263,3.601430,32
2500,Blocked,Serial,11.070203,9.562051,64
2500,Blocked,Parallel,2.918971,3.792502,64
2500,Blocked,Serial,13.743227,7.702256,128
2500,Blocked,Parallel,3.526089,3.897583,128
2500,Blocked,Serial,15.208797,6.960041,256
2500,Blocked,Parallel,3.928454,3.871445,256
3000,ijk,Serial,183.398598,1.000000,0
3000,ijk,Serial,183.309178,1.000488,0
3000,ijk,Parallel,47.197633,3.883864,0
3000,ikj,Serial,18.882701,9.712519,0
3000,ikj,Parallel,5.308056,3.557367,0
3000,jik,Serial,186.638226,0.982642,0
3000,jik,Parallel,47.452311,3.933175,0
3000,jki,Serial,427.956850,0.428545,0
3000,jki,Parallel,112.270013,3.811854,0
3000,kij,Serial,22.518593,8.144319,0
3000,kij,Parallel,36.494781,0.617036,0
3000,kji,Serial,426.475740,0.430033,0
3000,kji,Parallel,109.020019,3.911903,0
3000,Blocked,Serial,16.127835,11.371557,16
3000,Blocked,Parallel,5.585916,2.887232,16
3000,Blocked,Serial,18.078622,10.144501,32
3000,Blocked,Parallel,4.986386,3.625597,32
3000,Blocked,Serial,19.564618,9.373993,64
3000,Blocked,Parallel,5.053876,3.871211,64
3000,Blocked,Serial,24.213076,7.574362,128
3000,Blocked,Parallel,6.153209,3.935032,128
3000,Blocked,Serial,26.893230,6.819508,256
3000,Blocked,Parallel,6.853017,3.924291,256
